titel,kategori,url,combined_text
Cognitive science,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/cognitive-science,"Cognitive science.Øvrige humaniora.Du lærer om de grundlæggende kognitive processer, der ligger bag menneskets bevidste og ubevidste opfattelser og handlinger. Du får indsigt i kognitive processer gennem bl.a. statistisk analyse af data og computerprogrammering. Du lærer desuden om eksperimentelle metoder til brug for undersøgelse af den menneskelige kognition både i og uden for laboratoriet. Du vil efterfølgende have jobmuligheder inden for bl.a. it-branchen, produktdesign og neurovidenskab..Undervisningen veksler mellem holdundervisning og forelæsninger, og der vil være en del praktisk laboratoriearbejde, hvor du lærer at analysere data fra hjernescanninger, adfærdseksperimenter og store tekstdatabaser. Sprog Al undervisning foregår på engelsk. Cognitive Science Informationsvidenskab Neuroscience and Neuroimaging Det er ikke muligt at læse videre på en kandidatuddannelse i psykologi i Danmark, og det er heller ikke muligt at få autorisation som psykolog. Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Du vil efterfølgende kunne arbejde inden for forskningsrådgivning, kommunikationsrådgivning og evaluering. Eller du vil kunne arbejde med design, forbrugeradfærd og markedsanalyse. Arbejdsområder Administrativt arbejde Organisation, udvikling og rådgivning Vigtige pointer: Du lærer om de grundlæggende kognitive processer, der ligger bag menneskets bevidste og ubevidste opfattelser og handlinger. Du får indsigt i kognitive processer gennem bl.a. statistisk analyse af data og computerprogrammering. Du lærer desuden om eksperimentelle metoder til brug for undersøgelse af den menneskelige kognition både i og uden for laboratoriet. du lærer at analysere data fra hjernescanninger, adfærdseksperimenter og store tekstdatabaser."
Dansk,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/dansk,"Dansk.Øvrige humaniora.På bacheloruddannelsen i dansk er der fokus på litteratur, sprog og medier. Gennem faglig indsigt i hovedområderne litteratur, sprog og medier samt samspillet imellem dem bliver du ekspert i at læse, skrive og formidle og i at arbejde på tværs af alsidige danskfaglige problemstillinger. I løbet af studietiden arbejder du med litteraturhistorie og litteraturanalyse, mediekultur og medievidenskab samt sprogteori og sproganalyse. Du kan specialisere dig inden for flere områder af faget. Du kommer til at læse en del både teoretisk litteratur og skønlitteratur, og du skal udarbejde flere større skriftlige opgaver undervejs. Dansk Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Uddannelsen giver dig jobmuligheder inden for især formidling, kommunikation og undervisning. Du kan fx finde arbejde inden for kulturformidling. Pædagogikum Dansk er et gymnasie- og hf-fag. Kombinerer du faget med et andet gymnasiefag, kan du efterfølgende søge pædagogikum og få undervisningskompetence til gymnasiet. Læs mere i UG-artiklen: Pædagogikum ved de gymnasiale uddannelser Arbejdsområder Administrativt arbejde Undervisning på gymnasier, seminarier, højskoler mv. Kommunikation og erhvervssprogligt arbejde Vigtige pointer: Du kommer til at læse en del både teoretisk litteratur og skønlitteratur, og du skal udarbejde flere større skriftlige opgaver undervejs."
Designkultur med mode og erhvervsoekonomi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/designkultur-med-mode-og-erhvervsoekonomi,"Designkultur med mode og erhvervsoekonomi.Øvrige humaniora.På uddannelsen studerer du design i en kulturel og kommerciel sammenhæng og får erhvervsøkonomisk indsigt i markedsføring, organisation og projektledelse. Uddannelsen er tværfaglig med fokus på design i en bred kontekst. Du lærer om designbegrebet og udviklingen gennem tiden kombineret med fag som fx virksomhedsøkonomi og forbrugeradfærd. Praktik Der vil være mulighed for praktikophold i løbet af studietiden. Designledelse Kultur og formidling Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Uddannelsen giver dig fremtidige jobmuligheder som konsulent, formidler, iværksætter eller projektleder inden for virksomheder og organisationer, der beskæftiger sig med design eller kulturel formidling, fx designvirksomheder, produktionsvirksomheder, reklamebureauer, museer eller kulturforvaltninger. Arbejdsområder Medie, kultur, turisme, idræt og underholdning Design Formgivning og grafisk arbejde Salg og indkøb Vigtige pointer: Du lærer om designbegrebet og udviklingen gennem tiden kombineret med fag som fx virksomhedsøkonomi og forbrugeradfærd."
Designkultur med rum og aestetik,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/designkultur-med-rum-og-aestetik,"Designkultur med rum og aestetik.Øvrige humaniora.På uddannelsen arbejder du med design ud fra forskellige perspektiver, både analytisk, teoretisk og historisk. Designs mange former og designkulturens udfoldelse i bl.a. medierne, design af både boligen og byrum, og design som æstetisk fænomen er i fokus på uddannelsen. Efter uddannelsen kan du søge videre på en kandidatuddannelse. Du vil som færdiguddannet kunne løse opgaver i forbindelse med formidling af design og rådgivning om design, byrum, æstetik og branding..Undervisningen veksler mellem holdundervisning, forelæsninger og øvelser, der både kan foregå individuelt og i grupper. Designledelse Kultur og formidling Bemærk: Der findes ikke en samlet liste over mulige kandidatuddannelser. Jobmuligheder Du vil have jobmuligheder i designvirksomheder, designbureauer, designorganisationer og kulturinstitutioner. Arbejdsområder Medie, kultur, turisme, idræt og underholdning Design, formgivning og grafisk arbejde ."
Digital design it aestetik og interaktion,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/digital-design-it-aestetik-og-interaktion,"Digital design it aestetik og interaktion.Øvrige humaniora.Du lærer om samspillet mellem interaktive teknologier, mennesker, kunst og kultur. Du kommer i løbet af uddannelsen til at arbejde teoretisk, praktisk og analytisk med forskellige typer af design – fra løsninger på konkrete problemer til mere eksperimenterende designarbejde. Designarbejdet kan være baseret på studier af mennesker og kontekster, men det kan også tage udgangspunkt i udforskning af kunstneriske praksisser og teknologiske muligheder. Uddannelsen giver dig en grundlæggende kompetence i at arbejde med digitale services, formidling og æstetiske oplevelser. Bacheloruddannelsen giver adgang til en kandidatuddannelse. Som færdiguddannet vil du have jobmuligheder både i it-branchen og i den offentlige sektor, eksempelvis inden for digital produkt-, koncept- og serviceudvikling..Undervisningen består af forelæsninger, holdtimer, praktiske øvelsestimer og projektarbejde i grupper. Digital design Bemærk : Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Dine jobmuligheder afhænger af, om du læser videre på en kandidatuddannelse, og i hvilken retning du eventuelt læser videre. Som færdiguddannet i digital design kvalificerer du dig til forskellige typer af job, både i private virksomheder og i den offentlige sektor. Du vil have jobmuligheder inden for eksempelvis digital produkt-, koncept- og serviceudvikling. Arbejdsområder Systemudvikling, programmering og design Tværgående it-arbejde Få mere at vide Se oversigt over it-uddannelser på universiteterne (futurepeople.dk) Vigtige pointer: Du lærer om samspillet mellem interaktive teknologier, mennesker, kunst og kultur."
Digital design med interaktionsstudier og it,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/digital-design-med-interaktionsstudier-og-it,"Digital design med interaktionsstudier og it.Øvrige humaniora.Teknologi handler om mennesker. Uddannelsen sætter dig i stand til at skabe fremtidens it-løsninger med fokus på mennesker, værdier og relationer. Uddannelsen giver dig kompetencer til at løse problemstillinger i tilknytning til digitalisering, it-systemer og kunstig intelligens. Du lærer at lave brugerundersøgelser og at designe skræddersyede løsninger med brugerne. Du vil bl.a. kunne arbejde som UX-designer, it-konsulent, digital designer eller SoMe-kommunikationskonsulent..Undervisningen foregår som holdundervisning, forelæsninger, ekskursioner, e-læring og projektarbejde. Praktik og udlandsophold På 5. semester kan du tage et projektorienteret forløb (praktik) i en virksomhed eller organisation. Der er også mulighed for, at du kan tilbringe semestret på et udenlandsk universitet. Jobmuligheder Uddannelsen giver dig fremtidige jobmuligheder i private og offentlige virksomheder, som arbejder med multimedie, webdesign, kommunikationsteknologi og softwareudvikling. Du kan også arbejde med fx rådgivning, markedsføring og networking. Arbejdsområder Systemudvikling, programmering og design Få mere at vide Se oversigt over it-uddannelser på universiteterne (futurepeople.dk) Vigtige pointer: Du lærer at lave brugerundersøgelser og at designe skræddersyede løsninger med brugerne."
Dramaturgi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/dramaturgi,"Dramaturgi.Øvrige humaniora.Dramaturgi er videnskaben om det aktuelle teater og dets historiske og teoretiske forudsætninger. Uddannelsen giver viden om scenekunst i ind- og udland. Du lærer om alle former for teater og også om kreative processer, samarbejde og kommunikation. Dramaturgistudiet er en teoretisk funderet uddannelse med praktiske undervisningselementer. Dramaturgi Æstetik og kultur Bemærk : Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Du vil have fremtidige jobmuligheder inden for teater, radio, tv, film, kultur, events og PR-kommunikation. Mange arbejder også med undervisningsopgaver i fx gymnasiet, på VUC, højskoler, inden for folkeoplysning og på virksomhedsinterne kurser. Andre får job med akademisk administrativt arbejde eller planlægning og projektledelse i kulturelle institutioner, både privat og offentligt. Pædagogikum Dramatik er et gymnasie- og hf-fag. Kombinerer du faget med et andet gymnasiefag, kan du efterfølgende søge pædagogikum og få undervisningskompetence til gymnasiet. Læs mere i UG-artiklen: Pædagogikum ved de gymnasiale uddannelser Arbejdsområder Undervisning på gymnasier, seminarier, højskoler mv. Kulturområdet Vigtige pointer: Du lærer om alle former for teater og også om kreative processer, samarbejde og kommunikation."
Europaeisk etnologi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/europaeisk-etnologi,"Europaeisk etnologi.Øvrige humaniora.Etnologi handler om menneskers måde at leve på. Du lærer at forstå og formidle forskelle i menneskers levevis ved hjælp af bl.a. fagets kulturteorier. På uddannelsen lærer du også om forskellige arbejdsmetoder, som etnologer bruger til at få viden om menneskers måder at leve på, bl.a. interview og deltagerobservation. Jobmulighederne som færdiguddannet etnolog er typisk inden for arbejde med kulturanalyse og formidling i offentlige og private organisationer som fx virksomheder og museer..Undervisningen veksler mellem holdundervisning, forelæsninger og projektarbejde. Du vil både arbejde selvstændigt og i grupper med tekster og projekter. En del af den videnskabelige litteratur, du skal læse, vil være skrevet på engelsk. Ekskursioner Der er mulighed for ekskursioner i såvel Danmark som udlandet. Europæisk etnologi Anvendt kulturanalyse Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Etnologer finder ofte arbejde i det private erhvervsliv, bl.a. inden for rådgivningsvirksomhed, i kommuner og i staten med fx kulturpolitik, byplanlægning eller socialt arbejde samt på kulturhistoriske museer. Arbejdsområder Organisation, udvikling og rådgivning Kultur- og museumsarbejde Vigtige pointer: Du lærer at forstå og formidle forskelle i menneskers levevis ved hjælp af bl.a. fagets kulturteorier."
Film og medievidenskab,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/film-og-medievidenskab,"Film og medievidenskab.Øvrige humaniora.Uddannelsen handler om at analysere hverdagens forskellige medier og undersøge, hvordan de påvirker mennesker, kultur og samfund. På uddannelsen arbejder du med filmkunsten og med forskellige medier som fx video, computer, tv, aviser og radio, og du studerer forskellige genrer, bl.a. reklame, nyheder, kunst og underholdning. Uddannelsen er mere teoretisk end praktisk. Efter bacheloruddannelsen kan du søge optagelse på en kandidatuddannelse. Dine jobmuligheder som færdiguddannet ligger inden for film-, tv-, reklame- og it-branchen eller som informations- eller PR-medarbejder i virksomheder eller organisationer..Undervisningen foregår som en blanding af holdundervisning i teori og analyse samt praktiske øvelser og perioder med videoproduktion. Film- og medievidenskab Bemærk : Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Uddannelsen giver jobmuligheder inden for film-, tv-, reklame- og it-branchen samt inden for digital kommunikation og sociale medier. Du vil også være kvalificeret til at løse opgaver som underviser eller informations- og pressemedarbejder. Arbejdsområder Medie, kultur, turisme, idræt og underholdning"
Filosofi,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/filosofi,"Filosofi.Øvrige humaniora.Filosofi har fokus på menneskets forståelse af verden, som den kommer til udtryk i kunst, religion og videnskab. Filosofi handler om mennesker, tænkning og verden i bredeste forstand. På uddannelsen arbejder du både teoretisk og praktisk med historisk og moderne filosofi, og du studerer fag som logik, videnskabsteori, æstetik, etik og politisk filosofi. Filosofi Sprogpsykologi Jobmuligheder Som færdiguddannet vil du have jobmuligheder i private og offentlige virksomheder og organisationer. Det kan fx være i kommuner og ministerier, i interesseorganisationer, i mediebranchen, på forlag, i finansielle institutioner og på dagblade. Du vil også have mulighed for at arbejde som underviser på fx gymnasier, universiteter og højskoler. Pædagogikum Filosofi er et gymnasie- og hf-fag. Kombinerer du faget med et andet gymnasiefag, kan du efterfølgende søge pædagogikum og få undervisningskompetence til gymnasiet. Læs mere i UG-artiklen: Pædagogikum ved de gymnasiale uddannelser Arbejdsområder Undervisning på gymnasier, seminarier, højskoler mv. Administrativt arbejde"
Filosofi og videnskabsteori,Øvrige humaniora,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/filosofi-og-videnskabsteori,"Filosofi og videnskabsteori.Øvrige humaniora.Uddannelsen handler om, hvordan vi som mennesker forstår verden omkring os. Du kommer bl.a. til at beskæftige dig med etik, metafysik og erkendelsesteori. Du lærer også at analysere både filosofiske og videnskabsteoretiske problemstillinger i et historisk perspektiv. Du vælger selv, om du vil fokusere på filosofi eller på videnskabsteori i dit projektarbejde. En afsluttet bacheloruddannelse giver adgang til at læse videre på en kandidatuddannelse. Du vil som færdiguddannet have jobmuligheder inden for fx undervisning eller forlags- og it-branchen..Undervisningen er projektorienteret, og gennem dit valg af projekter bestemmer du selv, om du vil lægge vægt på det filosofiske eller det videnskabsteoretiske aspekt. Filosofi og videnskabsteori Bemærk: Der findes ikke en samlet oversigt over mulige kandidatuddannelser. Jobmuligheder Uddannelsen giver dig som færdiguddannet jobmuligheder inden for undervisning eller i fx konsulentvirksomhed, forlagsbranchen og it-virksomheder. Arbejdsområder Administrativt arbejde Undervisning og vejledning Vigtige pointer: Du lærer også at analysere både filosofiske og videnskabsteoretiske problemstillinger i et historisk perspektiv."
